branch_id,branch_name,address,city,manager_name
1,Bilaspur Branch,"20/94, Bala Zila, Jaipur 760781",Raipur,Rohan Lad
2,Guntakal Branch,"73/83, Venkataraman Ganj, Purnia-443575",Bhalswa Jahangir Pur,Shlok Apte
3,South Dumdum Branch,"706, Keer Circle, Bhiwani-071812",Mathura,Divit Venkataraman
4,Jehanabad Branch,"774, Ram Path, Kota 376870",Dibrugarh,Ayesha Mann
5,Varanasi Branch,"H.No. 064, Kota Nagar, Malda-847848",Hyderabad,Onkar Kuruvilla
6,Surendranagar Dudhrej Branch,"H.No. 40, Vyas Road, Udupi-728090",Kochi,Ishita Vig
7,Pali Branch,"16/785, Krishnamurthy, Bhilwara 088959",Nagpur,Kabir Rattan
8,Surendranagar Dudhrej Branch,"H.No. 526, Ratta, Amravati 230299",Eluru,Madhup Anne
9,Sambalpur Branch,"H.No. 40, Aurora Ganj, Kavali 540273",Indore,Hunar Verma
10,Thrissur Branch,"H.No. 042, Baral Ganj, Agra 820481",Tezpur,Bhavin Ghose
11,Bettiah Branch,"857, Rama Chowk, Kurnool 455381",Guwahati,Aradhya Bora
12,Kottayam Branch,"H.No. 29, Vig Path, Dibrugarh-255768",Naihati,Kiara Bail
13,Meerut Branch,"95/448, Hari Chowk, Sonipat 488491",Ludhiana,Neysa Datta
14,Vellore Branch,"507, Rajan Marg, Sri Ganganagar 935588",Ghaziabad,Nitara Bose
15,Bahraich Branch,"77, Deshpande Chowk, Ramgarh 541238",Siliguri,Sara Raj
